origin,destination,distance_km,ridership
AG11: Chan Sow Lin,KG31: Bukit Dukung,12.874358435208654,406
AG11: Chan Sow Lin,KG33: Sungai Jernih,16.040448386813623,169
AG11: Chan Sow Lin,KG34: Stadium Kajang,16.801449688837415,658
AG11: Chan Sow Lin,KG35: Kajang,18.161023203846497,843
AG11: Chan Sow Lin,KJ10: KLCC,3.4380543357374913,2821
AG11: Chan Sow Lin,KJ11: Kampung Baru,3.8340527646888227,350
AG11: Chan Sow Lin,KJ12: Dang Wangi,3.54720858570235,470
AG11: Chan Sow Lin,KJ13: Masjid Jamek,3.184437795944319,214
AG11: Chan Sow Lin,KJ14: Pasar Seni,2.76295224878348,821
AG11: Chan Sow Lin,KJ15: KL Sentral,3.3375120575895156,3063
AG11: Chan Sow Lin,KJ16: Bank Rakyat Bangsar,4.061302665650958,2176
AG11: Chan Sow Lin,KJ17: Abdullah Hukum,4.85844382770202,3054
AG11: Chan Sow Lin,KJ18: Kerinchi,5.410155429686545,1548
AG11: Chan Sow Lin,KJ19: Universiti,6.18016965466073,991
AG11: Chan Sow Lin,KJ20: Taman Jaya,8.25908358743796,368
AG11: Chan Sow Lin,KJ21: Asia Jaya,9.048312734624757,852
AG11: Chan Sow Lin,KJ22: Taman Paramount,10.5885744812347,315
AG11: Chan Sow Lin,KJ23: Taman Bahagia,11.573068513633743,435
AG11: Chan Sow Lin,KJ24: Kelana Jaya,12.482990852510083,321
AG11: Chan Sow Lin,KJ25: Lembah Subang,13.948765876407284,303
AG11: Chan Sow Lin,KJ26: Ara Damansara,14.514563879358452,706
AG11: Chan Sow Lin,KJ27: Cgc Glenmarie,14.3680296877687,612
AG11: Chan Sow Lin,KJ28: Subang Jaya,14.959136740402283,636
AG11: Chan Sow Lin,KJ29: SS 15,15.519076398846364,436
AG11: Chan Sow Lin,KJ30: SS 18,15.913897422458916,100
AG11: Chan Sow Lin,KJ31: USJ 7,15.938010287348508,410
AG11: Chan Sow Lin,KJ32: Taipan,16.520334123833756,228
AG11: Chan Sow Lin,KJ33: Wawasan,17.515464265626903,134
AG11: Chan Sow Lin,KJ34: USJ 21,18.450443994582063,118
AG11: Chan Sow Lin,KJ35: Alam Megah,19.759943732664507,467
AG11: Chan Sow Lin,KJ36: Subang Alam,20.676854188051397,127
AG11: Chan Sow Lin,MR10: Chow Kit,4.766798922018708,659
AG11: Chan Sow Lin,MR11: Titiwangsa,5.466023589302503,92
AG11: Chan Sow Lin,SP12: Cheras,1.7306746087921017,4183
AG11: Chan Sow Lin,SP13: Salak Selatan,3.065849627790211,6595
AG11: Chan Sow Lin,SP14: Bandar Tun Razak,4.298672050927461,1307
AG11: Chan Sow Lin,SP15: Bandar Tasik Selatan,5.809177798835685,6651
AG11: Chan Sow Lin,SP16: Sungai Besi,7.195047641499264,389
AG11: Chan Sow Lin,SP17: Bukit Jalil,8.20018125224432,4175
AG11: Chan Sow Lin,SP18: Sri Petaling,8.062224599981468,2210
AG11: Chan Sow Lin,SP19: Awan Besar,8.881008765874965,2402
AG11: Chan Sow Lin,SP20: Muhibbah,9.402021645987052,2044
AG11: Chan Sow Lin,SP21: Alam Sutera,10.477773566737962,1429
AG11: Chan Sow Lin,SP22: Kinrara,11.7133417692713,2146
AG11: Chan Sow Lin,SP24: IOI Puchong Jaya,13.772131142099804,1756
AG11: Chan Sow Lin,SP25: Pusat Bandar Puchong,15.285008700333346,2180
AG11: Chan Sow Lin,SP26: Taman Perindustrian Puchong,16.298794126767454,883
AG11: Chan Sow Lin,SP27: Bandar Puteri,16.809735496950207,1115
AG11: Chan Sow Lin,SP28: Puchong Perdana,18.15134543399447,1161
AG11: Chan Sow Lin,SP29: Puchong Prima,19.4408698967026,1275
AG11: Chan Sow Lin,SP31: Putra Heights,21.39569785821773,1430
AG12: Miharja,AG10: Pudu,1.682141185044664,18121
AG12: Miharja,AG11: Chan Sow Lin,0.8326349833492757,4672
AG12: Miharja,AG13: Maluri,1.0708069751610558,10290
AG12: Miharja,AG14: Pandan Jaya,2.5651011182291343,3562
AG12: Miharja,AG15: Pandan Indah,3.51622425839659,1509
AG12: Miharja,AG16: Cempaka,4.344275238212198,3398
AG12: Miharja,AG17: Cahaya,4.823487219144482,2127
AG12: Miharja,AG18: Ampang,5.703013258919914,3885
AG12: Miharja,KG04: Kwasa Damansara,17.318560479204518,45
AG12: Miharja,KG05: Kwasa Sentral,17.872973552653765,189
AG12: Miharja,KG06: Kota Damansara,15.795126152626969,601
AG12: Miharja,KG07: Surian,14.127407463655114,623
AG12: Miharja,KG08: Mutiara Damansara,12.673363860743846,444
AG12: Miharja,KG09: Bandar Utama,11.392986861672062,743
AG12: Miharja,KG10: TTDI,9.84736360258686,487
AG12: Miharja,KG12: Phileo Damansara,8.435423719708982,559
AG12: Miharja,KG13: Pusat Bandar Damansara,6.604686045856379,658
AG12: Miharja,KG14: Semantan,6.7090225808500215,1267
